Region,USDT,XTZ,XLM,XRP,LTC,ETH,EOS,BSV,BCH,BTC,BNB
2013-01,20,0,0,0,0.1,0.1,0,0,0.1,1,0
2013-02,19,0,0,0,0.1,0.1,0,0,0.1,1,0
2013-03,15,0.1,0,0,1,0.1,0,0,0.1,3,0
2013-04,18,0,0,0,5,0.1,0,0,1,8,0
2013-05,17,1,0,0.1,2,0.1,0,0,0.1,3,0
2013-06,21,0,0,0,2,0.1,0,0,1,2,0
2013-07,18,0,0,0,1,0.1,0,0,0.1,2,0
2013-08,19,0,0,0,1,0.1,0,0,0.1,2,0
2013-09,15,0,0,0,1,0.1,0,0,0.1,2,0
2013-10,16,0,0,0,1,0.1,0,0,1,3,0
2013-11,16,0,0,1,8,0.1,0,1,1,10,0
2013-12,16,0,0,0,13,0.1,0,0,1,12,0
2014-01,17,0.1,0,0.1,7,0.1,0,1,1,8,0
2014-02,14,0,0,0.1,5,0.1,0,0,1,9,0
2014-03,13,0,0,0,4,0.1,0,0,1,7,0
2014-04,13,0,0,0,2,0.1,0,0,0.1,4,0
2014-05,14,0,0,0.1,1,0.1,0,0,0.1,3,0
2014-06,15,0,0,0.1,1,0.1,0,0,0.1,3,0
2014-07,15,0,0,0,1,0.1,0,0,0.1,3,0
2014-08,15,0,2,0,1,0.1,0,0,0.1,3,0
2014-09,14,0,0,0,1,0.1,0,0,0.1,3,0
2014-10,14,0,0,0.1,1,0.1,0,0,0.1,3,0
2014-11,14,0,0,0,1,0.1,0,0,0.1,3,0
2014-12,13,1,0,0.1,0.1,0.1,0,1,0.1,3,0
2015-01,12,1,1,1,1,0.1,0,0,0.1,3,0
2015-02,15,0,0,0,0.1,0.1,0,0,0.1,3,0
2015-03,17,0,0,0.1,0.1,0.1,0,0,0.1,2,0
2015-04,14,0,0,0,0.1,0.1,0,0,0.1,2,0
2015-05,12,0,0,0.1,0.1,0.1,0,0,0.1,2,0
2015-06,13,1,0,0,0.1,0.1,0,0,0.1,2,0
2015-07,14,1,1,0.1,1,1,0,0,0.1,3,0
2015-08,13,0,0,0.1,1,1,0,0,0.1,2,0
2015-09,14,0,1,0,0.1,0.1,0,0,0.1,2,0
2015-10,15,0.1,0,0.1,0.1,1,0,0,1,2,0
2015-11,12,1,1,0,0.1,1,0,0,0.1,3,0
2015-12,17,0,0,0,0.1,1,0,0,1,3,0
2016-01,14,0.1,0,0,0.1,1,0,1,0.1,3,0
2016-02,13,0,1,0.1,0.1,2,0,0,0.1,2,0
2016-03,14,0.1,0,0.1,0.1,4,0,0,0.1,2,0
2016-04,12,0,0,0.1,0.1,3,0,0,1,2,0
2016-05,14,0,0,0,0.1,4,2,0,0.1,3,0
2016-06,14,0.1,0,0.1,0.1,7,0,0,1,4,0
2016-07,14,0,0,0.1,0.1,5,0,0,0.1,3,0
2016-08,12,0,0,0,0.1,3,0,0,0.1,3,0
2016-09,15,0.1,1,0.1,0.1,3,0,0,1,2,0
2016-10,12,0.1,0,0.1,0.1,3,0,0,1,2,0
2016-11,13,1,1,0,0.1,2,0,0,1,3,0
2016-12,12,0.1,0,0.1,0.1,2,0,1,1,3,0
2017-01,15,0.1,1,0.1,0.1,3,0,0,1,5,0
2017-02,16,0.1,0,0.1,0.1,3,0,1,1,4,0
2017-03,16,1,0,0.1,1,13,0,1,1,5,0
2017-04,17,2,1,1,2,10,0,0,1,4,0
2017-05,22,25,2,5,6,37,3,0,2,12,0
2017-06,25,38,1,6,10,81,4,1,2,12,0
2017-07,22,96,1,4,6,47,16,0,6,9,0.1
2017-08,22,38,1,6,8,39,12,0,44,16,4
2017-09,24,26,1,5,10,31,12,0,8,15,2
2017-10,20,43,2,5,6,27,6,0,10,16,2
2017-11,41,29,3,12,17,49,20,0,53,40,5
2017-12,81,56,33,100,100,100,100,1,100,100,55
2018-01,100,33,100,87,32,93,99,1,27,50,100
2018-02,65,29,22,25,27,41,32,1,16,36,23
2018-03,29,22,13,14,11,27,32,1,8,20,12
2018-04,25,17,9,10,8,20,45,1,12,16,11
2018-05,24,19,5,9,6,21,49,0,9,13,9
2018-06,25,33,4,8,6,15,43,0,6,12,7
2018-07,21,46,5,4,4,12,20,0,6,12,6
2018-08,20,19,7,5,5,16,18,2,6,11,4
2018-09,19,19,6,7,4,14,19,3,6,9,3
2018-10,30,16,3,5,3,9,12,1,4,7,3
2018-11,19,11,6,5,3,10,11,60,13,11,2
2018-12,19,8,7,5,3,10,11,57,8,11,2
2019-01,20,6,5,4,3,8,13,18,5,7,2
2019-02,17,7,2,3,4,8,21,25,4,7,3
2019-03,19,16,6,2,3,6,12,16,4,6,6
2019-04,28,22,4,3,5,8,9,49,8,10,5
2019-05,25,17,6,5,6,11,19,84,8,14,7
2019-06,25,15,7,5,9,10,32,84,8,16,7
2019-07,23,15,5,4,5,15,15,36,6,14,3
2019-08,17,23,4,2,4,6,10,15,5,11,3
2019-09,20,11,3,3,3,5,10,14,5,9,2
2019-10,18,9,3,3,2,5,6,18,5,9,2
2019-11,16,34,3,2,2,5,6,13,6,8,2
2019-12,17,42,2,2,2,5,6,14,5,7,1
2020-01,17,27,4,3,3,7,11,100,6,9,2
2020-02,19,100,4,3,3,11,13,42,7,10,3
2020-03,20,38,3,3,3,8,9,21,7,13,2
2020-04,23,45,5,4,2,8,9,25,7,10,2
2020-05,24,52,6,5,2,10,15,22,8,13,3
2020-06,21,41,7,5,2,12,27,17,6,12,2
